common_name,scientific_name,status,Perch_2.0
Adelie Penguin,Pygoscelis adeliae,Rare/Accidental,Y
African Collared-Dove,Streptopelia roseogrisea,Introduced species,Y
American Golden-Plover,Pluvialis dominica,Rare/Accidental,Y
Antarctic Petrel,Thalassoica antarctica,Rare/Accidental,Y
Antarctic Prion,Pachyptila desolata,Rare/Accidental,Y
Antipodean Albatross,Diomedea antipodensis,Endangered,Y
Arctic Tern,Sterna paradisaea,Rare/Accidental,Y
Asian Dowitcher,Limnodromus semipalmatus,Rare/AccidentalÿNear-threatened,Y
Auckland Islands Merganser,Mergus australis,Endemic (country/region)ÿExtinct,
Australasian Bittern,Botaurus poiciloptilus,Vulnerable,Y
Australasian Darter,Anhinga novaehollandiae,Rare/Accidental,Y
Australasian Gannet,Morus serrator,,Y
Australasian Grebe,Tachybaptus novaehollandiae,,Y
Australasian Shoveler,Spatula rhynchotis,,Y
Australasian Swamphen,Porphyrio melanotus,,Y
Australian Crake,Porzana fluminea,Rare/Accidental,Y
Australian Fairy Tern,Sternula nereis,Vulnerable,Y
Australian Ibis,Threskiornis molucca,Rare/Accidental,Y
Australian Magpie,Gymnorhina tibicen,Introduced species,Y
Australian Pelican,Pelecanus conspicillatus,Rare/Accidental,Y
Australian Shelduck,Tadorna tadornoides,Rare/Accidental,Y
Australian Tern,Gelochelidon macrotarsa,Rare/Accidental,Y
Baillon's Crake,Zapornia pusilla,,Y
Baird's Sandpiper,Calidris bairdii,Rare/Accidental,Y
Bar-tailed Godwit,Limosa lapponica,Near-threatened,Y
Black Kite,Milvus migrans,Rare/Accidental,Y
Black Noddy,Anous minutus,Rare/Accidental,Y
Black Stilt,Himantopus novaezelandiae,Endemic (country/region)ÿCritically endangered,Y
Black Swan,Cygnus atratus,Introduced species,Y
Black Tern,Chlidonias niger,Rare/Accidental,Y
Black-bellied Plover,Pluvialis squatarola,Rare/AccidentalÿVulnerable,Y
Black-bellied Storm-Petrel,Fregetta tropica,Rare/Accidental,Y
Black-billed Gull,Chroicocephalus bulleri,Endemic (country/region)ÿNear-threatened,Y
Black-browed Albatross,Thalassarche melanophris,,Y
Black-faced Cuckooshrike,Coracina novaehollandiae,Rare/Accidental,Y
Black-faced Monarch,Monarcha melanopsis,Rare/Accidental,Y
Black-fronted Dotterel,Thinornis melanops,,Y
Black-fronted Tern,Chlidonias albostriatus,Endemic (country/region)ÿEndangered,Y
Black-naped Tern,Sterna sumatrana,Rare/Accidental,Y
Black-tailed Godwit,Limosa limosa,Rare/AccidentalÿNear-threatened,Y
Black-tailed Nativehen,Tribonyx ventralis,Rare/Accidental,Y
Black-winged Petrel,Pterodroma nigripennis,,Y
Blue Duck,Hymenolaimus malacorhynchos,Endemic (country/region)ÿEndangered,Y
Blue Petrel,Halobaena caerulea,Rare/Accidental,Y
Blue-billed White-Tern,Gygis candida,Rare/Accidental,
Blue-gray Noddy,Anous ceruleus,Rare/Accidental,Y
Bridled Tern,Onychoprion anaethetus,Rare/Accidental,Y
Bristle-thighed Curlew,Numenius tahitiensis,Rare/AccidentalÿNear-threatened,Y
Broad-billed Prion,Pachyptila vittata,Rare/Accidental,Y
Broad-billed Sandpiper,Calidris falcinellus,Rare/AccidentalÿVulnerable,Y
Brown Booby,Sula leucogaster,Rare/Accidental,Y
Brown Noddy,Anous stolidus,Rare/Accidental,Y
Brown Quail,Synoicus ypsilophorus,Introduced species,Y
Brown Skua,Stercorarius antarcticus,,Y
Brown Teal,Anas chlorotis,Endemic (country/region)ÿNear-threatened,Y
Buff-banded Rail,Gallirallus philippensis,,Y
Buff-breasted Sandpiper,Calidris subruficollis,Rare/AccidentalÿVulnerable,Y
Buller's Albatross,Thalassarche bulleri,Near-threatened,Y
Buller's Shearwater,Ardenna bulleri,Endemic (country/region)ÿVulnerable,Y
Bulwer's Petrel,Bulweria bulwerii,Rare/Accidental,Y
Bush Wren,Xenicus longipes,Endemic (country/region)ÿExtinct,
California Quail,Callipepla californica,Introduced species,Y
Canada Goose,Branta canadensis,Introduced species,Y
Cape Barren Goose,Cereopsis novaehollandiae,Rare/Accidental,Y
Cape Gannet,Morus capensis,Rare/AccidentalÿEndangered,Y
Caspian Tern,Hydroprogne caspia,,Y
Channel-billed Cuckoo,Scythrops novaehollandiae,Rare/Accidental,Y
Chatham Albatross,Thalassarche eremita,Rare/AccidentalÿVulnerable,Y
Chatham Islands Petrel,Pterodroma axillaris,Vulnerable,Y
Chestnut Teal,Anas castanea,Rare/Accidental,Y
Christmas Shearwater,Puffinus nativitatis,Rare/Accidental,Y
Chukar,Alectoris chukar,Introduced species,Y
Cirl Bunting,Emberiza cirlus,Introduced species,Y
Collared Petrel,Pterodroma brevipes,Rare/AccidentalÿVulnerable,
Common Chaffinch,Fringilla coelebs,Introduced species,Y
Common Diving-Petrel,Pelecanoides urinatrix,,Y
