perch_label_number,common_name,scientific_name
9,Redpoll,Acanthis flammea
10,Rifleman,Acanthisitta chloris
64,Common Myna,Acridotheres tristis
132,Common Sandpiper,Actitis hypoleucos
336,Eurasian Skylark,Alauda arvensis
370,Chukar,Alectoris chukar
607,Double-banded Plover,Anarhynchus bicinctus
611,Wrybill,Anarhynchus frontalis
613,Greater Sand-Plover,Anarhynchus leschenaultii
615,Siberian Sand-Plover,Anarhynchus mongolus
618,Red-breasted Dotterel,Anarhynchus obscurus
622,Red-capped Plover,Anarhynchus ruficapillus
625,Oriental Plover,Anarhynchus veredus
634,Chestnut Teal,Anas castanea
635,Brown Teal,Anas chlorotis
644,Gray Teal,Anas gracilis
649,Mallard,Anas platyrhynchos
653,Pacific Black Duck,Anas superciliosa
715,Australasian Darter,Anhinga novaehollandiae
748,Blue-gray Noddy,Anous ceruleus
749,Black Noddy,Anous minutus
750,Brown Noddy,Anous stolidus
753,Graylag Goose,Anser anser
789,Red Wattlebird,Anthochaera carunculata
798,New Zealand Bellbird,Anthornis melanura
862,New Zealand Pipit,Anthus novaeseelandiae
950,Kerguelen Petrel,Aphrodroma brevirostris
987,Emperor Penguin,Aptenodytes forsteri
988,King Penguin,Aptenodytes patagonicus
990,North Island Brown Kiwi,Apteryx mantelli
991,Great Spotted Kiwi,Apteryx maxima
992,Little Spotted Kiwi,Apteryx owenii
993,Okarito Brown Kiwi,Apteryx rowi
1009,Pacific Swift,Apus pacificus
1019,Wedge-tailed Eagle,Aquila audax
1095,Great Egret,Ardea alba
1096,Gray Heron,Ardea cinerea
1098,Eastern Cattle-Egret,Ardea coromanda
1104,Pacific Heron,Ardea pacifica
1107,Buller's Shearwater,Ardenna bulleri
1108,Flesh-footed Shearwater,Ardenna carneipes
1109,Pink-footed Shearwater,Ardenna creatopus
1110,Great Shearwater,Ardenna gravis
1111,Sooty Shearwater,Ardenna grisea
1112,Wedge-tailed Shearwater,Ardenna pacifica
1113,Short-tailed Shearwater,Ardenna tenuirostris
1122,Ruddy Turnstone,Arenaria interpres
1201,Masked Woodswallow,Artamus personatus
1202,White-browed Woodswallow,Artamus superciliosus
1313,Little Owl,Athene noctua
1428,Hardhead,Aythya australis
1433,New Zealand Scaup,Aythya novaeseelandiae
1474,Upland Sandpiper,Bartramia longicauda
1682,Australasian Bittern,Botaurus poiciloptilus
1743,Canada Goose,Branta canadensis
1833,Bulwer's Petrel,Bulweria bulwerii
1908,Sulphur-crested Cockatoo,Cacatua galerita
1930,Fan-tailed Cuckoo,Cacomantis flabelliformis
1985,Sharp-tailed Sandpiper,Calidris acuminata
1986,Sanderling,Calidris alba
1987,Dunlin,Calidris alpina
1988,Baird's Sandpiper,Calidris bairdii
